invoice_id,invoice_date,customer,document_type,gross_amount,currency,status
E001,2026-08-01,Customer_01,Invoice,42905,INR,OPEN
E002,2026-08-02,Customer_02,Invoice,8296,INR,OPEN
E003,2026-08-03,Customer_03,Invoice,2639,INR,OPEN
E004,2026-08-04,Customer_04,Invoice,49598,INR,OPEN
E005,2026-08-05,Customer_05,Invoice,19024,INR,OPEN
E006,2026-08-06,Customer_06,Invoice,17049,INR,OPEN
E007,2026-08-07,Customer_07,Invoice,15628,INR,OPEN
E008,2026-08-08,Customer_08,Invoice,10144,INR,OPEN
E009,2026-08-09,Customer_09,Invoice,49265,INR,OPEN
E010,2026-08-10,Customer_10,Invoice,7717,INR,OPEN
E011,2026-08-11,Customer_11,Invoice,45348,INR,OPEN
E012,2026-08-12,Customer_12,Invoice,49540,INR,OPEN
E013,2026-08-13,Customer_13,Invoice,36741,INR,OPEN
E014,2026-08-14,Customer_14,Invoice,6697,INR,OPEN
E015,2026-08-15,Customer_15,Invoice,39698,INR,OPEN
E016,2026-08-16,Customer_16,Invoice,28651,INR,OPEN
E017,2026-08-17,Customer_17,Invoice,3082,INR,OPEN
E018,2026-08-18,Customer_18,Invoice,2952,INR,OPEN
E019,2026-08-19,Customer_19,Invoice,7140,INR,OPEN
E020,2026-08-20,Customer_20,Invoice,15328,INR,OPEN
E021,2026-08-21,Customer_21,Invoice,16247,INR,OPEN
E022,2026-08-22,Customer_22,Invoice,34118,INR,OPEN
E023,2026-08-23,Customer_23,Invoice,40453,INR,OPEN
E024,2026-08-24,Customer_24,Invoice,2739,INR,OPEN
E025,2026-08-25,Customer_25,Invoice,37781,INR,OPEN
E026,2026-08-26,Customer_26,Invoice,14031,INR,OPEN
E027,2026-08-27,Customer_27,Invoice,47925,INR,OPEN
E028,2026-08-28,Customer_28,Invoice,43590,INR,OPEN
E029,2026-08-01,Customer_29,Invoice,46962,INR,OPEN
E030,2026-08-02,Customer_30,Invoice,36713,INR,OPEN
E031,2026-08-03,Customer_01,Invoice,28493,INR,OPEN
E032,2026-08-04,Customer_02,Invoice,15446,INR,OPEN
E033,2026-08-05,Customer_03,Invoice,30439,INR,OPEN
E034,2026-08-06,Customer_04,Invoice,39618,INR,OPEN
E035,2026-08-07,Customer_05,Invoice,19231,INR,OPEN
E036,2026-08-08,Customer_06,Invoice,1425,INR,OPEN
E037,2026-08-09,Customer_07,Invoice,11463,INR,OPEN
E038,2026-08-10,Customer_08,Invoice,46753,INR,OPEN
E039,2026-08-11,Customer_09,Invoice,28696,INR,OPEN
E040,2026-08-12,Customer_10,Invoice,23298,INR,OPEN
E041,2026-08-13,Customer_11,Invoice,5552,INR,OPEN
E042,2026-08-14,Customer_11,Invoice,3547,INR,OPEN
E043,2026-08-15,Customer_11,Invoice,4527,INR,OPEN
E044,2026-08-14,Customer_12,Invoice,6514,INR,OPEN
E045,2026-08-15,Customer_12,Invoice,2674,INR,OPEN
E046,2026-08-15,Customer_13,Invoice,2519,INR,OPEN
E047,2026-08-16,Customer_13,Invoice,7224,INR,OPEN
E048,2026-08-17,Customer_13,Invoice,2584,INR,OPEN
E049,2026-08-16,Customer_14,Invoice,6881,INR,OPEN
E050,2026-08-17,Customer_14,Invoice,6635,INR,OPEN
E051,2026-08-17,Customer_15,Invoice,10891,INR,OPEN
E052,2026-08-18,Customer_15,Invoice,5333,INR,OPEN
E053,2026-08-19,Customer_15,Invoice,1711,INR,OPEN
E054,2026-08-18,Customer_16,Invoice,8527,INR,OPEN
E055,2026-08-19,Customer_16,Invoice,9785,INR,OPEN
E056,2026-08-19,Customer_17,Invoice,3045,INR,OPEN
E057,2026-08-20,Customer_17,Invoice,7201,INR,OPEN
E058,2026-08-21,Customer_17,Invoice,2291,INR,OPEN
E059,2026-08-20,Customer_18,Invoice,10044,INR,OPEN
E060,2026-08-21,Customer_18,Invoice,5803,INR,OPEN
E061,2026-08-21,Customer_19,Invoice,11299,INR,OPEN
E062,2026-08-22,Customer_19,Invoice,11133,INR,OPEN
E063,2026-08-23,Customer_19,Invoice,6925,INR,OPEN
E064,2026-08-22,Customer_20,Invoice,10459,INR,OPEN
E065,2026-08-23,Customer_20,Invoice,4150,INR,OPEN
E066,2026-08-23,Customer_21,Invoice,2139,INR,OPEN
E067,2026-08-24,Customer_21,Invoice,1750,INR,OPEN
E068,2026-08-25,Customer_21,Invoice,11834,INR,OPEN
E069,2026-08-24,Customer_22,Invoice,4733,INR,OPEN
E070,2026-08-25,Customer_22,Invoice,5741,INR,OPEN
E071,2026-08-25,Customer_23,Invoice,2307,INR,OPEN
E072,2026-08-26,Customer_23,Invoice,4814,INR,OPEN
E073,2026-08-27,Customer_23,Invoice,2654,INR,OPEN
E074,2026-08-26,Customer_24,Invoice,7227,INR,OPEN
E075,2026-08-27,Customer_24,Invoice,5554,INR,OPEN
E076,2026-08-27,Customer_25,Invoice,8428,INR,OPEN
E077,2026-08-28,Customer_25,Invoice,11415,INR,OPEN
E078,2026-08-29,Customer_25,Invoice,6977,INR,OPEN
E079,2026-08-28,Customer_26,Invoice,3664,INR,OPEN
E080,2026-08-29,Customer_26,Invoice,7065,INR,OPEN
E081,2026-08-01,Customer_27,Invoice,6820,INR,OPEN
E082,2026-08-02,Customer_27,Invoice,4432,INR,OPEN
E083,2026-08-03,Customer_27,Invoice,11980,INR,OPEN
E084,2026-08-02,Customer_28,Invoice,5374,INR,OPEN
E085,2026-08-03,Customer_28,Invoice,11617,INR,OPEN
E086,2026-08-03,Customer_29,Invoice,2169,INR,OPEN
E087,2026-08-04,Customer_29,Invoice,10980,INR,OPEN
E088,2026-08-05,Customer_29,Invoice,11403,INR,OPEN
E089,2026-08-04,Customer_30,Invoice,3803,INR,OPEN
E090,2026-08-05,Customer_30,Invoice,9751,INR,OPEN
E091,2026-08-05,Customer_01,Invoice,62784,INR,OPEN
E092,2026-08-06,Customer_02,Invoice,25708,INR,OPEN
E093,2026-08-07,Customer_03,Invoice,32691,INR,OPEN
E094,2026-08-08,Customer_04,Invoice,60099,INR,OPEN
E095,2026-08-09,Customer_05,Invoice,59866,INR,OPEN
E096,2026-08-10,Customer_06,Invoice,65352,INR,OPEN
E097,2026-08-11,Customer_07,Invoice,30010,INR,OPEN
E098,2026-08-12,Customer_08,Invoice,67759,INR,OPEN
E099,2026-08-13,Customer_09,Invoice,32546,INR,OPEN
E100,2026-08-14,Customer_10,Invoice,28826,INR,OPEN
E101,2026-08-15,Customer_11,Invoice,28934,INR,OPEN
E102,2026-08-16,Customer_12,Invoice,47717,INR,OPEN
E103,2026-08-17,Customer_13,Invoice,45071,INR,OPEN
E104,2026-08-18,Customer_14,Invoice,32359,INR,OPEN
E105,2026-08-19,Customer_15,Invoice,63823,INR,OPEN
E106,2026-08-20,Customer_16,Invoice,13609,INR,OPEN
E107,2026-08-21,Customer_16,Invoice,51713,INR,OPEN
E108,2026-08-21,Customer_17,Invoice,24121,INR,OPEN
E109,2026-08-22,Customer_17,Invoice,33956,INR,OPEN
E110,2026-08-22,Customer_18,Invoice,12186,INR,OPEN
E111,2026-08-23,Customer_18,Invoice,7266,INR,OPEN
E112,2026-08-24,Customer_18,Invoice,34271,INR,OPEN
E113,2026-08-23,Customer_19,Invoice,17382,INR,OPEN
E114,2026-08-24,Customer_19,Invoice,18575,INR,OPEN
E115,2026-08-24,Customer_20,Invoice,12185,INR,OPEN
E116,2026-08-25,Customer_20,Invoice,74248,INR,OPEN
E117,2026-08-25,Customer_21,Invoice,17977,INR,OPEN
E118,2026-08-26,Customer_21,Invoice,10574,INR,OPEN
E119,2026-08-27,Customer_21,Invoice,11933,INR,OPEN
E120,2026-08-26,Customer_22,Invoice,7081,INR,OPEN
E121,2026-08-27,Customer_22,Invoice,62005,INR,OPEN
E122,2026-08-27,Customer_23,Invoice,20337,INR,OPEN
E123,2026-08-28,Customer_23,Invoice,48715,INR,OPEN
E124,2026-08-28,Customer_24,Invoice,23128,INR,OPEN
E125,2026-08-29,Customer_24,Invoice,5094,INR,OPEN
E126,2026-08-30,Customer_24,Invoice,18254,INR,OPEN
E127,2026-08-01,Customer_25,Invoice,16169,INR,OPEN
E128,2026-08-02,Customer_25,Invoice,21338,INR,OPEN
E129,2026-08-02,Customer_26,Invoice,32486,INR,OPEN
E130,2026-08-03,Customer_27,Invoice,57006,INR,OPEN
E131,2026-08-04,Customer_28,Invoice,37293,INR,OPEN
E132,2026-08-05,Customer_29,Invoice,22310,INR,OPEN
E133,2026-08-06,Customer_30,Invoice,34234,INR,OPEN
E134,2026-08-07,Customer_01,Invoice,48492,INR,OPEN
E135,2026-08-08,Customer_02,Invoice,49735,INR,OPEN
E136,2026-08-09,Customer_03,Invoice,67323,INR,OPEN
E137,2026-08-10,Customer_04,Invoice,52806,INR,OPEN
E138,2026-08-11,Customer_05,Invoice,53271,INR,OPEN
E139,2026-08-13,Customer_07,Invoice,14779,INR,OPEN
E140,2026-08-15,Customer_09,Invoice,20000,INR,OPEN
E141,2026-08-16,Customer_10,Invoice,25000,INR,OPEN
