gateway_txn_id,event_date,merchant_ref,customer,event_type,gross_amount,gateway_fee,gst_on_fee,net_settlement,currency
G001,2026-08-02,PAY0001,Customer_01,Settlement,42905,0.0,0.0,42905.0,INR
G002,2026-08-03,PAY0002,Customer_02,Settlement,8296,0.0,0.0,8296.0,INR
G003,2026-08-04,PAY0003,Customer_03,Settlement,2639,0.0,0.0,2639.0,INR
G004,2026-08-05,PAY0004,Customer_04,Settlement,49598,0.0,0.0,49598.0,INR
G005,2026-08-06,PAY0005,Customer_05,Settlement,19024,0.0,0.0,19024.0,INR
G006,2026-08-07,PAY0006,Customer_06,Settlement,17049,0.0,0.0,17049.0,INR
G007,2026-08-08,PAY0007,Customer_07,Settlement,15628,0.0,0.0,15628.0,INR
G008,2026-08-09,PAY0008,Customer_08,Settlement,10144,0.0,0.0,10144.0,INR
G009,2026-08-10,PAY0009,Customer_09,Settlement,49265,0.0,0.0,49265.0,INR
G010,2026-08-11,PAY0010,Customer_10,Settlement,7717,0.0,0.0,7717.0,INR
G011,2026-08-12,PAY0011,Customer_11,Settlement,45348,0.0,0.0,45348.0,INR
G012,2026-08-13,PAY0012,Customer_12,Settlement,49540,0.0,0.0,49540.0,INR
G013,2026-08-14,PAY0013,Customer_13,Settlement,36741,0.0,0.0,36741.0,INR
G014,2026-08-15,PAY0014,Customer_14,Settlement,6697,0.0,0.0,6697.0,INR
G015,2026-08-16,PAY0015,Customer_15,Settlement,39698,0.0,0.0,39698.0,INR
G016,2026-08-17,PAY0016,Customer_16,Settlement,28651,0.0,0.0,28651.0,INR
G017,2026-08-18,PAY0017,Customer_17,Settlement,3082,0.0,0.0,3082.0,INR
G018,2026-08-19,PAY0018,Customer_18,Settlement,2952,0.0,0.0,2952.0,INR
G019,2026-08-20,PAY0019,Customer_19,Settlement,7140,0.0,0.0,7140.0,INR
G020,2026-08-21,PAY0020,Customer_20,Settlement,15328,0.0,0.0,15328.0,INR
G021,2026-08-22,PAY0021,Customer_21,Settlement,16247,0.0,0.0,16247.0,INR
G022,2026-08-23,PAY0022,Customer_22,Settlement,34118,0.0,0.0,34118.0,INR
G023,2026-08-24,PAY0023,Customer_23,Settlement,40453,0.0,0.0,40453.0,INR
G024,2026-08-25,PAY0024,Customer_24,Settlement,2739,0.0,0.0,2739.0,INR
G025,2026-08-26,PAY0025,Customer_25,Settlement,37781,0.0,0.0,37781.0,INR
G026,2026-08-27,PAY0026,Customer_26,Settlement,14031,0.0,0.0,14031.0,INR
G027,2026-08-28,PAY0027,Customer_27,Settlement,47925,0.0,0.0,47925.0,INR
G028,2026-08-29,PAY0028,Customer_28,Settlement,43590,0.0,0.0,43590.0,INR
G029,2026-08-02,PAY0029,Customer_29,Settlement,46962,0.0,0.0,46962.0,INR
G030,2026-08-03,PAY0030,Customer_30,Settlement,36713,0.0,0.0,36713.0,INR
G031,2026-08-04,PAY0031,Customer_01,Settlement,28493,0.0,0.0,28493.0,INR
G032,2026-08-05,PAY0032,Customer_02,Settlement,15446,0.0,0.0,15446.0,INR
G033,2026-08-06,PAY0033,Customer_03,Settlement,30439,0.0,0.0,30439.0,INR
G034,2026-08-07,PAY0034,Customer_04,Settlement,39618,0.0,0.0,39618.0,INR
G035,2026-08-08,PAY0035,Customer_05,Settlement,19231,0.0,0.0,19231.0,INR
G036,2026-08-09,PAY0036,Customer_06,Settlement,1425,0.0,0.0,1425.0,INR
G037,2026-08-10,PAY0037,Customer_07,Settlement,11463,0.0,0.0,11463.0,INR
G038,2026-08-11,PAY0038,Customer_08,Settlement,46753,0.0,0.0,46753.0,INR
G039,2026-08-12,PAY0039,Customer_09,Settlement,28696,0.0,0.0,28696.0,INR
G040,2026-08-13,PAY0040,Customer_10,Settlement,23298,0.0,0.0,23298.0,INR
G041,2026-08-14,PAY0041,Customer_11,Settlement,5552,0.0,0.0,5552.0,INR
G042,2026-08-15,PAY0041,Customer_11,Settlement,3547,0.0,0.0,3547.0,INR
G043,2026-08-16,PAY0041,Customer_11,Settlement,4527,0.0,0.0,4527.0,INR
G044,2026-08-15,PAY0042,Customer_12,Settlement,6514,0.0,0.0,6514.0,INR
G045,2026-08-16,PAY0042,Customer_12,Settlement,2674,0.0,0.0,2674.0,INR
G046,2026-08-16,PAY0043,Customer_13,Settlement,2519,0.0,0.0,2519.0,INR
G047,2026-08-17,PAY0043,Customer_13,Settlement,7224,0.0,0.0,7224.0,INR
G048,2026-08-18,PAY0043,Customer_13,Settlement,2584,0.0,0.0,2584.0,INR
G049,2026-08-17,PAY0044,Customer_14,Settlement,6881,0.0,0.0,6881.0,INR
G050,2026-08-18,PAY0044,Customer_14,Settlement,6635,0.0,0.0,6635.0,INR
G051,2026-08-18,PAY0045,Customer_15,Settlement,10891,0.0,0.0,10891.0,INR
G052,2026-08-19,PAY0045,Customer_15,Settlement,5333,0.0,0.0,5333.0,INR
G053,2026-08-20,PAY0045,Customer_15,Settlement,1711,0.0,0.0,1711.0,INR
G054,2026-08-19,PAY0046,Customer_16,Settlement,8527,0.0,0.0,8527.0,INR
G055,2026-08-20,PAY0046,Customer_16,Settlement,9785,0.0,0.0,9785.0,INR
G056,2026-08-20,PAY0047,Customer_17,Settlement,3045,0.0,0.0,3045.0,INR
G057,2026-08-21,PAY0047,Customer_17,Settlement,7201,0.0,0.0,7201.0,INR
G058,2026-08-22,PAY0047,Customer_17,Settlement,2291,0.0,0.0,2291.0,INR
G059,2026-08-21,PAY0048,Customer_18,Settlement,10044,0.0,0.0,10044.0,INR
G060,2026-08-22,PAY0048,Customer_18,Settlement,5803,0.0,0.0,5803.0,INR
G061,2026-08-22,PAY0049,Customer_19,Settlement,11299,0.0,0.0,11299.0,INR
G062,2026-08-23,PAY0049,Customer_19,Settlement,11133,0.0,0.0,11133.0,INR
G063,2026-08-24,PAY0049,Customer_19,Settlement,6925,0.0,0.0,6925.0,INR
G064,2026-08-23,PAY0050,Customer_20,Settlement,10459,0.0,0.0,10459.0,INR
G065,2026-08-24,PAY0050,Customer_20,Settlement,4150,0.0,0.0,4150.0,INR
G066,2026-08-24,PAY0051,Customer_21,Settlement,2139,0.0,0.0,2139.0,INR
G067,2026-08-25,PAY0051,Customer_21,Settlement,1750,0.0,0.0,1750.0,INR
G068,2026-08-26,PAY0051,Customer_21,Settlement,11834,0.0,0.0,11834.0,INR
G069,2026-08-25,PAY0052,Customer_22,Settlement,4733,0.0,0.0,4733.0,INR
G070,2026-08-26,PAY0052,Customer_22,Settlement,5741,0.0,0.0,5741.0,INR
G071,2026-08-26,PAY0053,Customer_23,Settlement,2307,0.0,0.0,2307.0,INR
G072,2026-08-27,PAY0053,Customer_23,Settlement,4814,0.0,0.0,4814.0,INR
G073,2026-08-28,PAY0053,Customer_23,Settlement,2654,0.0,0.0,2654.0,INR
G074,2026-08-27,PAY0054,Customer_24,Settlement,7227,0.0,0.0,7227.0,INR
G075,2026-08-28,PAY0054,Customer_24,Settlement,5554,0.0,0.0,5554.0,INR
G076,2026-08-28,PAY0055,Customer_25,Settlement,8428,0.0,0.0,8428.0,INR
G077,2026-08-29,PAY0055,Customer_25,Settlement,11415,0.0,0.0,11415.0,INR
G078,2026-08-30,PAY0055,Customer_25,Settlement,6977,0.0,0.0,6977.0,INR
