bank_txn_id,date,description,amount,currency,reference
B0001,2026-08-02,Customer_08 PAYMENT,5024.0,INR,UTR70000001
B0002,2026-08-02,PAYMENT RECEIVED Customer_15,7599.0,INR,UTR70000002
B0003,2026-08-24,PAYMENT RECEIVED Customer_22,20046.0,INR,UTR70000003
B0004,2026-07-20,Customer_29 PAYMENT,7568.0,INR,UTR70000004
B0005,2026-08-03,UPI/IMPS CREDIT Customer_36,10038.0,INR,UTR70000005
B0006,2026-07-09,UPI/IMPS CREDIT Customer_43,12034.0,INR,UTR70000006
B0007,2026-08-01,Customer_50 PAYMENT,10073.0,INR,UTR70000007
B0008,2026-08-22,UPI/IMPS CREDIT Customer_07,12071.0,INR,UTR70000008
B0009,2026-07-30,PAYMENT RECEIVED Customer_14,10005.0,INR,UTR70000009
B0010,2026-07-04,Customer_21 PAYMENT,12032.0,INR,UTR70000010
B0011,2026-08-07,PAYMENT RECEIVED Customer_28,12035.0,INR,UTR70000011
B0012,2026-07-06,Customer_35 PAYMENT,15064.0,INR,UTR70000012
B0013,2026-08-17,UPI/IMPS CREDIT Customer_42,12092.0,INR,UTR70000013
B0014,2026-08-10,Customer_49 PAYMENT,7536.0,INR,UTR70000014
B0015,2026-07-14,PAYMENT RECEIVED Customer_06,15009.0,INR,UTR70000015
B0016,2026-08-13,Customer_13 PAYMENT,5026.0,INR,UTR70000016
B0017,2026-08-01,PAYMENT RECEIVED Customer_20,7560.0,INR,UTR70000017
B0018,2026-08-22,PAYMENT RECEIVED Customer_27,15045.0,INR,UTR70000018
B0019,2026-08-29,Customer_34 PAYMENT,5058.0,INR,UTR70000019
B0020,2026-07-14,Customer_41 PAYMENT,5052.0,INR,UTR70000020
B0021,2026-08-26,Customer_48 PAYMENT,5070.0,INR,UTR70000021
B0022,2026-07-11,Customer_05 PAYMENT,20072.0,INR,UTR70000022
B0023,2026-07-09,PAYMENT RECEIVED Customer_12,10020.0,INR,UTR70000023
B0024,2026-07-06,UPI/IMPS CREDIT Customer_19,12027.0,INR,UTR70000024
B0025,2026-07-20,Customer_26 PAYMENT,20079.0,INR,UTR70000025
B0026,2026-08-03,Customer_33 PAYMENT,20047.0,INR,UTR70000026
B0027,2026-08-09,PAYMENT RECEIVED Customer_40,20045.0,INR,UTR70000027
B0028,2026-07-11,UPI/IMPS CREDIT Customer_47,20048.0,INR,UTR70000028
B0029,2026-08-30,Customer_04 PAYMENT,20015.0,INR,UTR70000029
B0030,2026-08-21,PAYMENT RECEIVED Customer_11,12002.0,INR,UTR70000030
B0031,2026-08-01,PAYMENT RECEIVED Customer_18,15017.0,INR,UTR70000031
B0032,2026-07-16,UPI/IMPS CREDIT Customer_25,20070.0,INR,UTR70000032
B0033,2026-08-03,PAYMENT RECEIVED Customer_32,12023.0,INR,UTR70000033
B0034,2026-08-12,PAYMENT RECEIVED Customer_39,5051.0,INR,UTR70000034
B0035,2026-08-11,Customer_46 PAYMENT,5017.0,INR,UTR70000035
B0036,2026-07-13,BULK RECEIPT / CONSOLIDATED COLLECTION,27605.0,INR,UTR70000036
B0037,2026-08-18,BULK RECEIPT / CONSOLIDATED COLLECTION,15053.0,INR,UTR70000037
B0038,2026-08-15,BULK RECEIPT / CONSOLIDATED COLLECTION,30080.0,INR,UTR70000038
B0039,2026-07-31,BULK RECEIPT / CONSOLIDATED COLLECTION,7780.0,INR,UTR70000039
B0040,2026-08-19,BULK RECEIPT / CONSOLIDATED COLLECTION,6456.0,INR,UTR70000040
B0041,2026-07-13,BULK RECEIPT / CONSOLIDATED COLLECTION,23726.0,INR,UTR70000041
B0042,2026-07-29,BULK RECEIPT / CONSOLIDATED COLLECTION,32221.0,INR,UTR70000042
B0043,2026-07-20,BULK RECEIPT / CONSOLIDATED COLLECTION,25149.0,INR,UTR70000043
B0044,2026-07-30,BULK RECEIPT / CONSOLIDATED COLLECTION,43730.0,INR,UTR70000044
B0045,2026-07-25,BULK RECEIPT / CONSOLIDATED COLLECTION,32263.0,INR,UTR70000045
B0046,2026-08-20,BULK RECEIPT / CONSOLIDATED COLLECTION,22971.0,INR,UTR70000046
B0047,2026-08-17,BULK RECEIPT / CONSOLIDATED COLLECTION,41927.0,INR,UTR70000047
B0048,2026-07-21,BULK RECEIPT / CONSOLIDATED COLLECTION,11450.0,INR,UTR70000048
B0049,2026-07-31,BULK RECEIPT / CONSOLIDATED COLLECTION,35222.0,INR,UTR70000049
B0050,2026-07-10,BULK RECEIPT / CONSOLIDATED COLLECTION,28491.0,INR,UTR70000050
B0051,2026-07-29,BULK RECEIPT / CONSOLIDATED COLLECTION,19629.0,INR,UTR70000051
B0052,2026-07-22,BULK RECEIPT / CONSOLIDATED COLLECTION,22418.0,INR,UTR70000052
B0053,2026-08-01,BULK RECEIPT / CONSOLIDATED COLLECTION,20288.0,INR,UTR70000053
B0054,2026-07-30,BULK RECEIPT / CONSOLIDATED COLLECTION,12894.0,INR,UTR70000054
B0055,2026-08-26,BULK RECEIPT / CONSOLIDATED COLLECTION,39252.0,INR,UTR70000055
B0056,2026-08-23,BULK RECEIPT / CONSOLIDATED COLLECTION,9139.0,INR,UTR70000056
B0057,2026-08-10,BULK RECEIPT / CONSOLIDATED COLLECTION,39468.0,INR,UTR70000057
B0058,2026-08-19,BULK RECEIPT / CONSOLIDATED COLLECTION,17672.0,INR,UTR70000058
B0059,2026-07-30,BULK RECEIPT / CONSOLIDATED COLLECTION,16250.0,INR,UTR70000059
B0060,2026-08-08,BULK RECEIPT / CONSOLIDATED COLLECTION,7811.0,INR,UTR70000060
B0061,2026-07-29,BULK RECEIPT / CONSOLIDATED COLLECTION,21340.0,INR,UTR70000061
B0062,2026-07-28,BULK RECEIPT / CONSOLIDATED COLLECTION,17597.0,INR,UTR70000062
B0063,2026-08-05,BULK RECEIPT / CONSOLIDATED COLLECTION,21740.0,INR,UTR70000063
B0064,2026-07-15,BULK RECEIPT / CONSOLIDATED COLLECTION,13183.0,INR,UTR70000064
B0065,2026-07-06,BULK RECEIPT / CONSOLIDATED COLLECTION,15199.0,INR,UTR70000065
B0066,2026-08-03,PART PAYMENT / INSTALMENT,19020.0,INR,UTR70000066
B0067,2026-08-04,PART PAYMENT / INSTALMENT,8674.0,INR,UTR70000067
B0068,2026-08-06,PART PAYMENT / INSTALMENT,17779.0,INR,UTR70000068
B0069,2026-07-28,PART PAYMENT / INSTALMENT,4236.0,INR,UTR70000069
B0070,2026-07-29,PART PAYMENT / INSTALMENT,39802.0,INR,UTR70000070
B0071,2026-07-29,PART PAYMENT / INSTALMENT,5890.0,INR,UTR70000071
B0072,2026-08-01,PART PAYMENT / INSTALMENT,9789.0,INR,UTR70000072
B0073,2026-07-09,PART PAYMENT / INSTALMENT,13494.0,INR,UTR70000073
B0074,2026-07-11,PART PAYMENT / INSTALMENT,23958.0,INR,UTR70000074
B0075,2026-07-11,PART PAYMENT / INSTALMENT,4644.0,INR,UTR70000075
B0076,2026-07-12,PART PAYMENT / INSTALMENT,13048.0,INR,UTR70000076
B0077,2026-07-05,PART PAYMENT / INSTALMENT,22310.0,INR,UTR70000077
B0078,2026-07-08,PART PAYMENT / INSTALMENT,22124.0,INR,UTR70000078
