gateway_txn_id,event_date,merchant_ref,gateway_ref,customer,event_type,gross_amount,gateway_fee,gst_on_fee,net_settlement,currency
G0001,2026-07-28,INV-00001,GW90000001,Customer_08,SETTLEMENT,5024.0,0.0,0.0,5024.0,INR
G0002,2026-08-02,INV-00002,GW90000002,Customer_15,SETTLEMENT,7599.0,0.0,0.0,7599.0,INR
G0003,2026-08-20,INV-00003,GW90000003,Customer_22,SETTLEMENT,20046.0,0.0,0.0,20046.0,INR
G0004,2026-07-18,INV-00004,GW90000004,Customer_29,SETTLEMENT,7568.0,0.0,0.0,7568.0,INR
G0005,2026-08-01,INV-00005,GW90000005,Customer_36,SETTLEMENT,10038.0,0.0,0.0,10038.0,INR
G0006,2026-07-03,INV-00006,GW90000006,Customer_43,SETTLEMENT,12034.0,0.0,0.0,12034.0,INR
G0007,2026-08-02,INV-00007,GW90000007,Customer_50,SETTLEMENT,10073.0,0.0,0.0,10073.0,INR
G0008,2026-08-24,INV-00008,GW90000008,Customer_07,SETTLEMENT,12071.0,0.0,0.0,12071.0,INR
G0009,2026-07-29,INV-00009,GW90000009,Customer_14,SETTLEMENT,10005.0,0.0,0.0,10005.0,INR
G0010,2026-07-04,INV-00010,GW90000010,Customer_21,SETTLEMENT,12032.0,0.0,0.0,12032.0,INR
G0011,2026-08-06,INV-00011,GW90000011,Customer_28,SETTLEMENT,12035.0,0.0,0.0,12035.0,INR
G0012,2026-07-06,INV-00012,GW90000012,Customer_35,SETTLEMENT,15064.0,0.0,0.0,15064.0,INR
G0013,2026-08-17,INV-00013,GW90000013,Customer_42,SETTLEMENT,12092.0,0.0,0.0,12092.0,INR
G0014,2026-08-06,INV-00014,GW90000014,Customer_49,SETTLEMENT,7536.0,0.0,0.0,7536.0,INR
G0015,2026-07-11,INV-00015,GW90000015,Customer_06,SETTLEMENT,15009.0,0.0,0.0,15009.0,INR
G0016,2026-08-12,INV-00016,GW90000016,Customer_13,SETTLEMENT,5026.0,0.0,0.0,5026.0,INR
G0017,2026-07-29,INV-00017,GW90000017,Customer_20,SETTLEMENT,7560.0,0.0,0.0,7560.0,INR
G0018,2026-08-20,INV-00018,GW90000018,Customer_27,SETTLEMENT,15045.0,0.0,0.0,15045.0,INR
G0019,2026-08-23,INV-00019,GW90000019,Customer_34,SETTLEMENT,5058.0,0.0,0.0,5058.0,INR
G0020,2026-07-12,INV-00020,GW90000020,Customer_41,SETTLEMENT,5052.0,0.0,0.0,5052.0,INR
G0021,2026-08-26,INV-00021,GW90000021,Customer_48,SETTLEMENT,5070.0,0.0,0.0,5070.0,INR
G0022,2026-07-11,INV-00022,GW90000022,Customer_05,SETTLEMENT,20072.0,0.0,0.0,20072.0,INR
G0023,2026-07-11,INV-00023,GW90000023,Customer_12,SETTLEMENT,10020.0,0.0,0.0,10020.0,INR
G0024,2026-07-05,INV-00024,GW90000024,Customer_19,SETTLEMENT,12027.0,0.0,0.0,12027.0,INR
G0025,2026-07-15,INV-00025,GW90000025,Customer_26,SETTLEMENT,20079.0,0.0,0.0,20079.0,INR
G0026,2026-08-05,INV-00026,GW90000026,Customer_33,SETTLEMENT,20047.0,0.0,0.0,20047.0,INR
G0027,2026-08-09,INV-00027,GW90000027,Customer_40,SETTLEMENT,20045.0,0.0,0.0,20045.0,INR
G0028,2026-07-09,INV-00028,GW90000028,Customer_47,SETTLEMENT,20048.0,0.0,0.0,20048.0,INR
G0029,2026-08-27,INV-00029,GW90000029,Customer_04,SETTLEMENT,20015.0,0.0,0.0,20015.0,INR
G0030,2026-08-20,INV-00030,GW90000030,Customer_11,SETTLEMENT,12002.0,0.0,0.0,12002.0,INR
G0031,2026-07-27,INV-00031,GW90000031,Customer_18,SETTLEMENT,15017.0,0.0,0.0,15017.0,INR
G0032,2026-07-14,INV-00032,GW90000032,Customer_25,SETTLEMENT,20070.0,0.0,0.0,20070.0,INR
G0033,2026-07-30,INV-00033,GW90000033,Customer_32,SETTLEMENT,12023.0,0.0,0.0,12023.0,INR
G0034,2026-08-13,INV-00034,GW90000034,Customer_39,SETTLEMENT,5051.0,0.0,0.0,5051.0,INR
G0035,2026-08-06,INV-00035,GW90000035,Customer_46,SETTLEMENT,5017.0,0.0,0.0,5017.0,INR
G0036,2026-07-07,BULK-36-1,GW90000036,Customer_47,SETTLEMENT,8554.0,0.0,0.0,8554.0,INR
G0037,2026-07-08,BULK-36-2,GW90000037,Customer_47,SETTLEMENT,10700.0,0.0,0.0,10700.0,INR
G0038,2026-07-09,BULK-36-3,GW90000038,Customer_47,SETTLEMENT,8351.0,0.0,0.0,8351.0,INR
G0039,2026-08-15,BULK-37-1,GW90000039,Customer_08,SETTLEMENT,5580.0,0.0,0.0,5580.0,INR
G0040,2026-08-16,BULK-37-2,GW90000040,Customer_08,SETTLEMENT,9473.0,0.0,0.0,9473.0,INR
G0041,2026-08-10,BULK-38-1,GW90000041,Customer_19,SETTLEMENT,9171.0,0.0,0.0,9171.0,INR
G0042,2026-08-11,BULK-38-2,GW90000042,Customer_19,SETTLEMENT,13853.0,0.0,0.0,13853.0,INR
G0043,2026-08-12,BULK-38-3,GW90000043,Customer_19,SETTLEMENT,3729.0,0.0,0.0,3729.0,INR
G0044,2026-08-13,BULK-38-4,GW90000044,Customer_19,SETTLEMENT,3327.0,0.0,0.0,3327.0,INR
G0045,2026-07-26,BULK-39-1,GW90000045,Customer_30,SETTLEMENT,3999.0,0.0,0.0,3999.0,INR
G0046,2026-07-27,BULK-39-2,GW90000046,Customer_30,SETTLEMENT,3781.0,0.0,0.0,3781.0,INR
G0047,2026-08-16,BULK-40-1,GW90000047,Customer_41,SETTLEMENT,3766.0,0.0,0.0,3766.0,INR
G0048,2026-08-17,BULK-40-2,GW90000048,Customer_41,SETTLEMENT,2690.0,0.0,0.0,2690.0,INR
G0049,2026-07-09,BULK-41-1,GW90000049,Customer_02,SETTLEMENT,10344.0,0.0,0.0,10344.0,INR
G0050,2026-07-10,BULK-41-2,GW90000050,Customer_02,SETTLEMENT,9207.0,0.0,0.0,9207.0,INR
G0051,2026-07-11,BULK-41-3,GW90000051,Customer_02,SETTLEMENT,4175.0,0.0,0.0,4175.0,INR
G0052,2026-07-22,BULK-42-1,GW90000052,Customer_13,SETTLEMENT,5828.0,0.0,0.0,5828.0,INR
G0053,2026-07-23,BULK-42-2,GW90000053,Customer_13,SETTLEMENT,6488.0,0.0,0.0,6488.0,INR
G0054,2026-07-24,BULK-42-3,GW90000054,Customer_13,SETTLEMENT,6833.0,0.0,0.0,6833.0,INR
