invoice_id,invoice_date,customer,document_type,gross_amount,currency,status,invoice_ref
E00001,2026-09-20,Customer_001,INVOICE,46850.02,INR,OPEN,INV-X0000
E00002,2026-09-01,Customer_008,INVOICE,30837.03,INR,OPEN,INV-X0001
E00003,2026-08-17,Customer_015,INVOICE,54929.03,INR,OPEN,INV-X0002
E00004,2026-10-03,Customer_022,INVOICE,59855.01,INR,OPEN,INV-X0003
E00005,2026-10-29,Customer_029,INVOICE,62205.01,INR,OPEN,INV-X0004
E00006,2026-10-30,Customer_036,INVOICE,8221.0,INR,OPEN,INV-X0005
E00007,2026-10-29,Customer_043,INVOICE,53365.02,INR,OPEN,INV-X0006
E00008,2026-09-05,Customer_050,INVOICE,7602.0,INR,OPEN,INV-X0007
E00009,2026-09-05,Customer_057,INVOICE,54955.02,INR,OPEN,INV-X0008
E00010,2026-09-01,Customer_064,INVOICE,27146.03,INR,OPEN,INV-X0009
E00011,2026-08-05,Customer_071,INVOICE,15185.0,INR,OPEN,INV-X0010
E00012,2026-08-31,Customer_078,INVOICE,13954.03,INR,OPEN,INV-X0011
E00013,2026-09-02,Customer_005,INVOICE,59716.02,INR,OPEN,INV-X0012
E00014,2026-09-26,Customer_012,INVOICE,43575.01,INR,OPEN,INV-X0013
E00015,2026-08-25,Customer_019,INVOICE,50693.03,INR,OPEN,INV-X0014
E00016,2026-09-20,Customer_026,INVOICE,58419.01,INR,OPEN,INV-X0015
E00017,2026-09-21,Customer_033,INVOICE,20435.01,INR,OPEN,INV-X0016
E00018,2026-09-06,Customer_040,INVOICE,17844.02,INR,OPEN,INV-X0017
E00019,2026-10-03,Customer_047,INVOICE,10044.01,INR,OPEN,INV-X0018
E00020,2026-09-06,Customer_054,INVOICE,31110.0,INR,OPEN,INV-X0019
E00021,2026-10-07,Customer_061,INVOICE,22513.03,INR,OPEN,INV-X0020
E00022,2026-08-14,Customer_068,INVOICE,68363.02,INR,OPEN,INV-X0021
E00023,2026-09-24,Customer_075,INVOICE,5058.02,INR,OPEN,INV-X0022
E00024,2026-08-09,Customer_002,INVOICE,65729.03,INR,OPEN,INV-X0023
E00025,2026-10-08,Customer_009,INVOICE,6702.01,INR,OPEN,INV-X0024
E00026,2026-10-27,Customer_016,INVOICE,58106.0,INR,OPEN,INV-X0025
E00027,2026-09-11,Customer_023,INVOICE,47281.01,INR,OPEN,INV-X0026
E00028,2026-09-20,Customer_030,INVOICE,20836.02,INR,OPEN,INV-X0027
E00029,2026-08-07,Customer_037,INVOICE,66963.03,INR,OPEN,INV-X0028
E00030,2026-08-24,Customer_044,INVOICE,67670.0,INR,OPEN,INV-X0029
E00031,2026-09-29,Customer_051,INVOICE,57923.01,INR,OPEN,INV-X0030
E00032,2026-09-24,Customer_058,INVOICE,54083.01,INR,OPEN,INV-X0031
E00033,2026-10-06,Customer_065,INVOICE,34010.0,INR,OPEN,INV-X0032
E00034,2026-08-27,Customer_072,INVOICE,66748.0,INR,OPEN,INV-X0033
E00035,2026-09-17,Customer_079,INVOICE,60719.03,INR,OPEN,INV-X0034
E00036,2026-08-21,Customer_006,INVOICE,35609.02,INR,OPEN,INV-X0035
E00037,2026-08-05,Customer_013,INVOICE,33146.0,INR,OPEN,INV-X0036
E00038,2026-10-12,Customer_020,INVOICE,27275.03,INR,OPEN,INV-X0037
E00039,2026-08-31,Customer_027,INVOICE,54473.01,INR,OPEN,INV-X0038
E00040,2026-09-24,Customer_034,INVOICE,41765.0,INR,OPEN,INV-X0039
E00041,2026-08-11,Customer_041,INVOICE,45930.03,INR,OPEN,INV-X0040
E00042,2026-08-14,Customer_048,INVOICE,27167.02,INR,OPEN,INV-X0041
E00043,2026-08-02,Customer_055,INVOICE,60680.0,INR,OPEN,INV-X0042
E00044,2026-10-04,Customer_062,INVOICE,42469.02,INR,OPEN,INV-X0043
E00045,2026-09-12,Customer_069,INVOICE,10422.0,INR,OPEN,INV-X0044
E00046,2026-10-26,Customer_076,INVOICE,62351.0,INR,OPEN,INV-X0045
E00047,2026-10-21,Customer_003,INVOICE,46926.03,INR,OPEN,INV-X0046
E00048,2026-10-24,Customer_010,INVOICE,25494.03,INR,OPEN,INV-X0047
E00049,2026-08-07,Customer_017,INVOICE,65224.02,INR,OPEN,INV-X0048
E00050,2026-10-10,Customer_024,INVOICE,38755.01,INR,OPEN,INV-X0049
E00051,2026-09-13,Customer_006,INVOICE,34100.0,INR,OPEN,INV-F000-0
E00052,2026-09-14,Customer_006,INVOICE,34085.0,INR,OPEN,INV-F000-1
E00053,2026-09-15,Customer_006,INVOICE,24961.0,INR,OPEN,INV-F000-2
E00054,2026-09-16,Customer_006,INVOICE,34075.0,INR,OPEN,INV-F000-3
E00055,2026-10-03,Customer_017,INVOICE,11584.0,INR,OPEN,INV-F001-0
E00056,2026-10-04,Customer_017,INVOICE,19112.0,INR,OPEN,INV-F001-1
E00057,2026-10-05,Customer_017,INVOICE,9679.0,INR,OPEN,INV-F001-2
E00058,2026-10-06,Customer_017,INVOICE,8149.0,INR,OPEN,INV-F001-3
E00059,2026-09-18,Customer_028,INVOICE,30925.0,INR,OPEN,INV-F002-0
E00060,2026-09-19,Customer_028,INVOICE,20744.0,INR,OPEN,INV-F002-1
E00061,2026-09-20,Customer_028,INVOICE,20678.0,INR,OPEN,INV-F002-2
E00062,2026-08-19,Customer_039,INVOICE,32291.0,INR,OPEN,INV-F003-0
E00063,2026-08-20,Customer_039,INVOICE,30756.0,INR,OPEN,INV-F003-1
E00064,2026-09-25,Customer_050,INVOICE,12567.0,INR,OPEN,INV-F004-0
E00065,2026-09-26,Customer_050,INVOICE,19596.0,INR,OPEN,INV-F004-1
E00066,2026-09-27,Customer_050,INVOICE,15579.0,INR,OPEN,INV-F004-2
E00067,2026-09-28,Customer_050,INVOICE,18224.0,INR,OPEN,INV-F004-3
E00068,2026-09-28,Customer_061,INVOICE,31557.0,INR,OPEN,INV-F005-0
E00069,2026-09-29,Customer_061,INVOICE,26795.0,INR,OPEN,INV-F005-1
E00070,2026-08-06,Customer_072,INVOICE,34549.0,INR,OPEN,INV-F006-0
E00071,2026-08-07,Customer_072,INVOICE,22142.0,INR,OPEN,INV-F006-1
E00072,2026-08-08,Customer_072,INVOICE,30601.0,INR,OPEN,INV-F006-2
E00073,2026-08-09,Customer_072,INVOICE,20906.0,INR,OPEN,INV-F006-3
E00074,2026-08-06,Customer_003,INVOICE,19001.0,INR,OPEN,INV-F007-0
E00075,2026-08-07,Customer_003,INVOICE,26459.0,INR,OPEN,INV-F007-1
E00076,2026-08-08,Customer_003,INVOICE,15629.0,INR,OPEN,INV-F007-2
E00077,2026-09-20,Customer_014,INVOICE,9340.0,INR,OPEN,INV-F008-0
E00078,2026-09-21,Customer_014,INVOICE,25734.0,INR,OPEN,INV-F008-1
E00079,2026-09-22,Customer_014,INVOICE,31485.0,INR,OPEN,INV-F008-2
E00080,2026-10-08,Customer_025,INVOICE,25541.0,INR,OPEN,INV-F009-0
E00081,2026-10-09,Customer_025,INVOICE,9704.0,INR,OPEN,INV-F009-1
E00082,2026-10-10,Customer_025,INVOICE,33651.0,INR,OPEN,INV-F009-2
E00083,2026-08-02,Customer_036,INVOICE,25765.0,INR,OPEN,INV-F010-0
E00084,2026-08-03,Customer_036,INVOICE,7075.0,INR,OPEN,INV-F010-1
E00085,2026-10-09,Customer_047,INVOICE,6665.0,INR,OPEN,INV-F011-0
E00086,2026-10-10,Customer_047,INVOICE,28150.0,INR,OPEN,INV-F011-1
E00087,2026-10-11,Customer_047,INVOICE,19657.0,INR,OPEN,INV-F011-2
E00088,2026-10-12,Customer_047,INVOICE,8177.0,INR,OPEN,INV-F011-3
E00089,2026-09-25,Customer_058,INVOICE,16194.0,INR,OPEN,INV-F012-0
E00090,2026-09-26,Customer_058,INVOICE,28087.0,INR,OPEN,INV-F012-1
E00091,2026-09-27,Customer_058,INVOICE,14005.0,INR,OPEN,INV-F012-2
E00092,2026-08-05,Customer_069,INVOICE,11272.0,INR,OPEN,INV-F013-0
E00093,2026-08-06,Customer_069,INVOICE,9067.0,INR,OPEN,INV-F013-1
E00094,2026-09-26,Customer_080,INVOICE,22272.0,INR,OPEN,INV-F014-0
E00095,2026-09-27,Customer_080,INVOICE,8460.0,INR,OPEN,INV-F014-1
E00096,2026-10-06,Customer_011,INVOICE,27977.0,INR,OPEN,INV-F015-0
E00097,2026-10-07,Customer_011,INVOICE,27278.0,INR,OPEN,INV-F015-1
E00098,2026-10-08,Customer_011,INVOICE,23406.0,INR,OPEN,INV-F015-2
E00099,2026-08-17,Customer_022,INVOICE,7494.0,INR,OPEN,INV-F016-0
E00100,2026-08-18,Customer_022,INVOICE,10854.0,INR,OPEN,INV-F016-1
