gateway_txn_id,event_date,merchant_ref,gateway_ref,settlement_batch,customer,event_type,gross_amount,gateway_fee,gst_on_fee,net_settlement,currency
G00001,2026-09-20,INV-X0000,GW-900000001,BAT-0000,Customer_001,SETTLEMENT,46850.02,0.0,0.0,46850.02,INR
G00002,2026-09-01,INV-X0001,GW-900000002,BAT-0000,Customer_008,SETTLEMENT,30837.03,0.0,0.0,30837.03,INR
G00003,2026-08-17,INV-X0002,GW-900000003,BAT-0000,Customer_015,SETTLEMENT,54929.03,0.0,0.0,54929.03,INR
G00004,2026-10-06,INV-X0003,GW-900000004,BAT-0000,Customer_022,SETTLEMENT,59855.01,0.0,0.0,59855.01,INR
G00005,2026-11-01,INV-X0004,GW-900000005,BAT-0000,Customer_029,SETTLEMENT,62205.01,0.0,0.0,62205.01,INR
G00006,2026-10-30,INV-X0005,GW-900000006,BAT-0001,Customer_036,SETTLEMENT,8221.0,0.0,0.0,8221.0,INR
G00007,2026-11-01,INV-X0006,GW-900000007,BAT-0001,Customer_043,SETTLEMENT,53365.02,0.0,0.0,53365.02,INR
G00008,2026-09-08,INV-X0007,GW-900000008,BAT-0001,Customer_050,SETTLEMENT,7602.0,0.0,0.0,7602.0,INR
G00009,2026-09-07,INV-X0008,GW-900000009,BAT-0001,Customer_057,SETTLEMENT,54955.02,0.0,0.0,54955.02,INR
G00010,2026-09-02,INV-X0009,GW-900000010,BAT-0001,Customer_064,SETTLEMENT,27146.03,0.0,0.0,27146.03,INR
G00011,2026-08-05,INV-X0010,GW-900000011,BAT-0002,Customer_071,SETTLEMENT,15185.0,0.0,0.0,15185.0,INR
G00012,2026-08-31,INV-X0011,GW-900000012,BAT-0002,Customer_078,SETTLEMENT,13954.03,0.0,0.0,13954.03,INR
G00013,2026-09-02,INV-X0012,GW-900000013,BAT-0002,Customer_005,SETTLEMENT,59716.02,0.0,0.0,59716.02,INR
G00014,2026-09-26,INV-X0013,GW-900000014,BAT-0002,Customer_012,SETTLEMENT,43575.01,0.0,0.0,43575.01,INR
G00015,2026-08-28,INV-X0014,GW-900000015,BAT-0002,Customer_019,SETTLEMENT,50693.03,0.0,0.0,50693.03,INR
G00016,2026-09-20,INV-X0015,GW-900000016,BAT-0003,Customer_026,SETTLEMENT,58419.01,0.0,0.0,58419.01,INR
G00017,2026-09-22,INV-X0016,GW-900000017,BAT-0003,Customer_033,SETTLEMENT,20435.01,0.0,0.0,20435.01,INR
G00018,2026-09-07,INV-X0017,GW-900000018,BAT-0003,Customer_040,SETTLEMENT,17844.02,0.0,0.0,17844.02,INR
G00019,2026-10-04,INV-X0018,GW-900000019,BAT-0003,Customer_047,SETTLEMENT,10044.01,0.0,0.0,10044.01,INR
G00020,2026-09-06,INV-X0019,GW-900000020,BAT-0003,Customer_054,SETTLEMENT,31110.0,0.0,0.0,31110.0,INR
G00021,2026-10-08,INV-X0020,GW-900000021,BAT-0004,Customer_061,SETTLEMENT,22513.03,0.0,0.0,22513.03,INR
G00022,2026-08-14,INV-X0021,GW-900000022,BAT-0004,Customer_068,SETTLEMENT,68363.02,0.0,0.0,68363.02,INR
G00023,2026-09-27,INV-X0022,GW-900000023,BAT-0004,Customer_075,SETTLEMENT,5058.02,0.0,0.0,5058.02,INR
G00024,2026-08-10,INV-X0023,GW-900000024,BAT-0004,Customer_002,SETTLEMENT,65729.03,0.0,0.0,65729.03,INR
G00025,2026-10-09,INV-X0024,GW-900000025,BAT-0004,Customer_009,SETTLEMENT,6702.01,0.0,0.0,6702.01,INR
G00026,2026-10-30,INV-X0025,GW-900000026,BAT-0005,Customer_016,SETTLEMENT,58106.0,0.0,0.0,58106.0,INR
G00027,2026-09-14,INV-X0026,GW-900000027,BAT-0005,Customer_023,SETTLEMENT,47281.01,0.0,0.0,47281.01,INR
G00028,2026-09-22,INV-X0027,GW-900000028,BAT-0005,Customer_030,SETTLEMENT,20836.02,0.0,0.0,20836.02,INR
G00029,2026-08-09,INV-X0028,GW-900000029,BAT-0005,Customer_037,SETTLEMENT,66963.03,0.0,0.0,66963.03,INR
G00030,2026-08-24,INV-X0029,GW-900000030,BAT-0005,Customer_044,SETTLEMENT,67670.0,0.0,0.0,67670.0,INR
G00031,2026-09-30,INV-X0030,GW-900000031,BAT-0006,Customer_051,SETTLEMENT,57923.01,0.0,0.0,57923.01,INR
